姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
好坏星,毒水,电地面超能力,0.4,8,不仁不义,非星寶可夢,會在海邊徘徊覓食。不時都會因為要吃啪嚓海膽斷掉的刺而被電得發麻。,攻击中毒状态的对手时，必定会击中要害。特柔软因为身体柔软，不会陷入麻痺状态。,
超坏星,毒水,电地面超能力,0.7,14.5,不仁不义,非星寶可夢,會把自己的腳搭起的圓頂當成住處。能夠用角偵測海流來探查四周的狀況。,攻击中毒状态的对手时，必定会击中要害。特柔软因为身体柔软，不会陷入麻痺状态。,
泥驴仔,地面,水草冰,1,110,我行我素,驢寶可夢,裹在身上的泥巴是吃下的土反芻而成的。就算長時間曝曬在陽光下也不會乾掉。,因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特持久力受到攻击时，防御会提高。,
重泥挽马,地面,水草冰,2.5,920,我行我素,挽馬寶可夢,除了能勝任粗重的工作，還能製造出陶器材料的優質泥土，所以一直以來都很受到珍視。,因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特持久力受到攻击时，防御会提高。,
滴蛛,水虫,电飞行岩石,0.3,4,水泡,水泡寶可夢,用臀部讓水泡膨脹，並包裹住自己的頭部。會和同類比拼水泡的大小。,降低与自己相对的火属招式的威力，不会灼伤。,
滴蛛霸,水虫,电飞行岩石,1.8,82,水泡,水泡寶可夢,會用腳發射水泡，包住獵物讓其溺水，然後花時間慢慢品嚐。,降低与自己相对的火属招式的威力，不会灼伤。,
伪螳草,草,火冰毒飞行虫,0.3,1.5,叶子防守,鐮草寶可夢,極度厭惡睡午覺的時候遭到打擾。會用日光浴儲存的能量放射出光束。,天气为晴朗时，不会陷入异常状态。,
兰螳花,草,火冰毒飞行虫,0.9,18.5,叶子防守,花鐮寶可夢,會用甜甜花香吸引蟲寶可夢接近，然後趁著牠們誤以為自己是夥伴而掉以輕心時用鐮刀奪取性命。,天气为晴朗时，不会陷入异常状态。,
睡睡菰,草妖精,火冰毒飞行钢,0.2,1.5,发光,發光寶可夢,頭上的蘑菇傘非常好吃，雖然會被森林中的寶可夢吃掉，但是過了一晚上就會再生。,透过让周围变亮，变得容易遇见野生的宝可梦。特性孢子透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。,
灯罩夜菰,草妖精,火冰毒飞行钢,1,11.5,发光,發光寶可夢,用孢子閃爍著的光吸引獵物，讓對方睡著。會從指尖吸收精氣。,透过让周围变亮，变得容易遇见野生的宝可梦。特性孢子透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。,
夜盗火蜥,毒火,水地面超能力岩石,0.6,4.8,腐蚀,毒蜥寶可夢,會挑釁獵物並引進狹窄的岩堆裡，接著噴出能造成頭暈的毒瓦斯後奪其性命。,就算对方是钢属性或毒属性宝可梦，也可让对方陷入中毒状态。,
焰后蜥,毒火,水地面超能力岩石,1.2,22.2,腐蚀,毒蜥寶可夢,會用妖豔的身姿誘惑被牠的毒瓦斯弄得頭昏眼花的對手，使其變成自己忠實的僕人。,就算对方是钢属性或毒属性宝可梦，也可让对方陷入中毒状态。,
童偶熊,一般格斗,格斗飞行超能力妖精,0.5,6.8,毛茸茸,抓狂寶可夢,毛茸茸的毛皮摸起來觸感超群，但粗心大意地向牠伸出手的人基本上都會遭到牠的劇烈反擊。,会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特笨拙无法使用持有的道具。,
穿着熊,一般格斗,格斗飞行超能力妖精,2.1,135,毛茸茸,強臂寶可夢,如果牠認定你是牠的夥伴，便會試著擁抱你來表示喜愛。但這會弄碎你的骨頭，非常危險。,会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特笨拙无法使用持有的道具。,
甜竹竹,草,火冰毒飞行虫,0.3,3.2,叶子防守,水果寶可夢,汗水帶著像是經過熬煮的水果甜味，在過去甜食尚少的時代相當受到人們珍視。,天气为晴朗时，不会陷入异常状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。,
甜舞妮,草,火冰毒飞行虫,0.7,8.2,叶子防守,水果寶可夢,會散發出能振奮心情的香甜氣味。作為止汗劑的香味擁有極高的人氣。,天气为晴朗时，不会陷入异常状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。,
甜冷美后,草,火冰毒飞行虫,1.2,21.4,叶子防守,水果寶可夢,雖然性情高傲且攻擊性強，但據說只要摸摸牠果蒂的冠，牠立刻會變得很溫順。,天气为晴朗时，不会陷入异常状态。特女王的威严向对手施加威慑力，使其无法对我方使出先制招式。,
花疗环环,妖精,毒钢,0.1,0.3,花幕,摘花寶可夢,會從頭上伸出有黏性的藤蔓摘下花朵，拿來裝飾自己。沒有花就會感到不安。,我方的草属性宝可梦能力不会降低。也不会陷入异常状态。特性先行治疗可以抢先使出回復招式。,
智挥猩,一般超能力,虫恶,1.5,76,精神力,賢者寶可夢,配合寶可夢,靠着经过锻鍊的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特心灵感应预测我方的攻击，并闪避其招式。,
投掷猴,格斗,飞行超能力妖精,2,82.8,接球手,配合寶可夢,會投出堅硬的樹果戰鬥。不會聽從投球技術差勁的訓練家所下的指示。,接球手继承被打倒的同伴的特性，变为相同的特性。,
胆小虫,虫水,电飞行岩石,0.5,12,跃跃欲逃,裝甲寶可夢,無論是腐爛的東西還是垃圾都能吃光光，是大自然的清道夫。巢穴附近總是保持乾淨。,欲逃ＨＰ变为一半时，会慌慌张张逃走，退回同行队伍里面。,
具甲武者,虫水,电飞行岩石,2,108,危险回避,裝甲寶可夢,為了勝利不擇手段。會看準敵人疏忽的時機，用前腳上的小爪子解決對方。,ＨＰ减到一半时，为了避开危险，会退回同行队伍里面。,
沙丘娃,幽灵地面,水草冰幽灵恶,0.5,70,遇水凝固,沙丘寶可夢,萬一鏟子弄丟了，就會用樹枝等東西插著代替，好讓牠在找到新鏟子前能分散注意力。,受到水属的招式攻击时，防御会大幅提高。,
噬沙堡爷,幽灵地面,水草冰幽灵恶,1.3,250,遇水凝固,沙堡寶可夢,會把小型寶可夢吸進沙子構成的身體裡，任憑自己吸取精氣的恐怖寶可夢。,凝固受到水属的招式攻击时，防御会大幅提高。,
拳海参,水,草电,0.3,1.2,飞出的内在物,海參寶可夢,棲息在溫暖的淺灘。遇到敵人時，會從嘴裡吐出內臟來攻擊對方。,被对手打倒的时候，会给予对手相当于ＨＰ剩馀量的伤害。,
属性：空,一般,格斗,1.9,120.5,战斗盔甲,人工寶可夢,傳言說有人偷走了機密研究資料，在伽勒爾地區創造出了新的「屬性：空」。,被坚硬的甲壳守护着，不会被对手的攻击击中要害。,
银伴战兽,一般,格斗,2.3,100.5,ＡＲ系统,人工寶可夢,與夥伴間深厚的牽絆讓蘊藏在自己體內的力量覺醒。可以隨意改變屬性。,根据持有的记忆碟，自己的属会改变。,
小陨星,岩石飞行,水电冰岩石钢,0.3,40,界限盾壳,流星寶可夢,棲息在臭氧層，被更強大的寶可夢當成了食物。在逃跑的過程中落到了地上。,ＨＰ变为一半时，壳会坏掉，变得更有攻击。,
树枕尾熊,一般,格斗,0.4,19.9,绝对睡眠,半夢半醒寶可夢,終其一生都在睡覺。作為主食的樹葉帶有劇毒，只有樹枕尾熊才能將毒分解。,总是半梦半醒的状态，绝对不会醒来。可在睡着的状况下进行攻击。,
爆焰龟兽,火龙,地面岩石龙,2,212,硬壳盔甲,爆炸龜寶可夢,背上的甲殼上敷了炸藥。會用大爆炸去回擊來攻擊自己的敵人。,被坚硬的壳保护着，对手的攻击不会击中要害。,
托戈德玛尔,电钢,火格斗地面,0.3,3.3,铁刺,蜷縮寶可夢,用背上的長毛來接收閃電和電氣寶可夢釋放的電擊，然後將之儲存在電囊中。,用铁刺给予接触到自己的对手伤害。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。,
谜拟Ｑ,幽灵妖精,幽灵钢,0.2,0.7,画皮,畫皮寶可夢,棲息在陽光照射不到的陰暗處。在人們面前現身時會用看似皮卡丘的布來隱藏全身。,用画皮覆盖住身体，可防住１次攻击。,
磨牙彩皮鱼,水超能力,草电虫幽灵恶,0.9,19,鲜艳之躯,磨牙寶可夢,會用力磨牙刺激大腦，然後從頭部的突起物發射藉其產生的精神力量。,让对手吓一跳，使其无法对我方使出先制招式。特强壮之颚颚部强壮，会提高啃咬类招式的威力。,
老翁龙,一般龙,冰格斗龙妖精,3,185,怒火冲天,悠遊寶可夢,住在海拔超過３０００公尺的山上。偶爾也會來到城鎮，與住在那裡的孩子們一起玩耍。,ＨＰ因对手的攻击降到一半时，特攻会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。,
破破舵轮,幽灵草,火冰飞行幽灵恶,3.9,210,钢能力者,碎藻寶可夢,在海底飄蕩的海藻吸收了沉船的零件後轉生而成的幽靈寶可夢。,钢属性的招式威力会提高。,
心鳞宝,龙,冰龙妖精,0.6,29.7,防弹,鱗片寶可夢,和夥伴們互相撞擊頭上的鱗片，學習戰鬥的方法。這樣做可以鍛鍊牠們的技術和心志。,可防住对手的球和弹类的招式。特隔音透过遮蔽声音，不受到声音招式的攻击。,
鳞甲龙,龙格斗,冰飞行超能力龙妖精,1.2,47,防弹,鱗片寶可夢,會向輸給自己的對手展示自己鱗片脫落、滿是傷痕的身體，來證明自己的強者地位。,可防住对手的球和弹类的招式。特隔音透过遮蔽声音，不受到声音招式的攻击。,
杖尾鳞甲龙,龙格斗,冰飞行超能力龙妖精,1.6,78.2,防弹,鱗片寶可夢,遇到敵人便會敲響尾部的鱗片來威嚇對方。只會與不畏懼自己的強者戰鬥。,可防住对手的球和弹类的招式。特隔音透过遮蔽声音，不受到声音招式的攻击。,
卡璞・鸣鸣,电妖精,毒地面,1.8,20.5,电气制造者,土地神寶可夢,雖被稱為守護神，但會去襲擊惹自己不開心的人或寶可夢，是個性情凶悍的神。,出场时，会布下电气场地。,
卡璞・蝶蝶,超能力妖精,毒幽灵钢,1.2,18.6,精神制造者,土地神寶可夢,會四處散佈閃閃發亮的鱗粉，治癒人和寶可夢的傷。是阿羅拉的人們信奉的守護神。,出场时，会布下精神场地。,
卡璞・哞哞,草妖精,火冰飞行钢,1.9,45.5,青草制造者,土地神寶可夢,雖被稱呼為守護神，但有著會將自己視為敵人的對手徹底擊潰的狂暴個性。,出场时，会布下青草场地。,
卡璞・鳍鳍,水妖精,草电毒,1.3,21.2,薄雾制造者,土地神寶可夢,棲息在濃霧的深處，受到了人們的敬畏。能夠操縱水，是波尼的守護神。,出场时，会布下薄雾场地。,
科斯莫古,超能力,虫幽灵恶,0.2,0.1,纯朴,星雲寶可夢,不可靠的氣體狀身體只要稍微有點風就會被吹走，但牠看起來一點都不在意。,可无视对手能力的变化，进行攻击。,
科斯莫姆,超能力,虫幽灵恶,0.1,999.9,结实,原始星寶可夢,太古時代支配著阿羅拉的國王稱呼牠為星之繭，為了崇拜牠而建造了祭壇。,在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。,
索尔迦雷欧,超能力钢,火地面幽灵恶,3.4,230,金属,日輪寶可夢,打開究極之洞的後果，是有可能把異世界的能量和生命召喚到這個世界來。,防护不会因对手的招式或特而被降低能力。,
露奈雅拉,超能力幽灵,幽灵恶,4,120,幻影,月輪寶可夢,在遙遠過去的文獻裡，牠被人們以邀引月亮之獸的名字記錄了下來。,防守ＨＰ全满时，受到的伤害会变少。,
虚吾伊德,岩石毒,水地面超能力钢,1.2,55.5,异兽提升,寄生寶可夢,被稱為究極異獸，是來自其他世界的生命體。被認為擁有強烈的神經毒。,打倒对手的时候，会提高自己最高的那项能力。,
爆肌蚊,虫格斗,火飞行超能力妖精,2.4,333.6,异兽提升,在這個世界是危險的異類，但在原本棲息的世界裡，牠似乎是常見的普通生物。,膨脹寶可夢,打倒对手的时候，会提高自己最高的那项能力。,
费洛美螂,虫格斗,火飞行超能力妖精,1.8,25,异兽提升,美艷寶可夢,棲息在其他世界的生命體。身體纖細柔軟，但似乎蘊藏著強大的力量。,打倒对手的时候，会提高自己最高的那项能力。,
电束木,电,地面,3.8,100,异兽提升,燈飾寶可夢,在這個世界是危險的異類，但在原本棲息的世界裡，牠似乎是常見的普通生物。,打倒对手的时候，会提高自己最高的那项能力。,
铁火辉夜,钢飞行,火电,9.2,999.9,异兽提升,發射寶可夢,是一種危險的究極異獸。從牠巨大的雙臂中檢測到了強大的能量反應。,打倒对手的时候，会提高自己最高的那项能力。,
纸御剑,草钢,火格斗,0.3,0.1,异兽提升,拔刀寶可夢,從這種究極異獸像紙一樣薄的身體上，可以感受到如同研磨過的刀刃般的鋒利度。,打倒对手的时候，会提高自己最高的那项能力。,
恶食大王,恶龙,冰格斗虫龙妖精,5.5,888,异兽提升,異食寶可夢,在這個世界是危險的異類，但在原本棲息的世界裡，牠似乎是常見的普通生物。,打倒对手的时候，会提高自己最高的那项能力。,
奈克洛兹玛,超能力,虫幽灵恶,2.4,230,稜镜装甲,稜鏡寶可夢,為了尋求作為能量的光而發狂的牠看起來有些痛苦。似乎是來自於其他世界。,受到效果绝佳的攻击时，可减弱其威力。,
玛机雅娜,钢妖精,火地面,1,80.5,魂心,人造寶可夢,能夠讓意識同步，藉此理解對方的心情。在照顧別人時是很方便的能力。, 能够让意识同步，藉此理解对方的心情。在照顾别人时是很方便的能力。,
玛夏多,格斗幽灵,飞行超能力幽灵妖精,0.7,22.2,技术高手,棲影寶可夢,能夠潛入對手的影子，模仿對手的動作和能力。在模仿的過程中會變得比本尊更強。,可让威力低的招式提高威力来进行攻击。,
毒贝比,毒,地面超能力,0.6,1.8,异兽提升,毒針寶可夢,在異世界是人們十分熟悉的究極異獸，有時甚至會被選為踏上旅程時的夥伴。,打倒对手的时候，会提高自己最高的那项能力。,
四颚针龙,毒龙,冰地面超能力龙,3.6,150,异兽,分類毒針寶可夢,體內儲存著數百公升的毒液，是被稱為究極異獸的生物中的一種。,提升打倒对手的时候，会提高自己最高的那项能力。,
垒磊石,岩石钢,水格斗地面,5.5,820,异兽,石牆寶可夢,從究極之洞中出現。似乎是由多數的生命堆積起來形成的個體。,提升打倒对手的时候，会提高自己最高的那项能力。,
砰头小丑,火幽灵,水地面岩石幽灵恶,1.8,13,异兽,煙火寶可夢,會扭動著身體靠近人，然後突然讓頭爆炸。似乎是究極異獸的一種。,提升打倒对手的时候，会提高自己最高的那项能力。,
捷拉奥拉,电,地面,1.5,44.5,蓄电,奔雷寶可夢,會用與落雷相同的速度 急速接近敵人，然後用 銳利的爪子把對手撕碎。,受到电属的招式攻击时，不会受到伤害，而是会回復。,
美录坦,钢,火格斗地面,0.2,8,磁力,螺帽寶可夢,身體是融化成液狀的鋼鐵。能夠將地底的鐵或其他金屬溶解後吸收進體內。,用磁力吸住钢属性的宝可梦，使其无法逃走。,
美录梅塔,钢,火格斗地面,2.5,800,铁拳,螺帽寶可夢,擁有產出鐵的力量，因而受到人們的崇拜。不知為何，在經過 3000 年的時間後甦醒過來。,使用到拳头的招式威力会提高。,
敲音猴,草,火冰毒飞行虫,0.3,5,茂盛,小猴寶可夢,當牠用特別的木棒敲奏時，能夠給予花草活力的力量就會變成音波擴散開來。,ＨＰ减少的时候，草属的招式威力会提高。,
啪咚猴,草,火冰毒飞行虫,0.7,14,茂盛,節拍寶可夢,越是能用２根木棒敲奏出激烈節拍的啪咚猴，越是能獲得夥伴們的尊敬。,ＨＰ减少的时候，草属的招式威力会提高。,
轰擂金刚猩,草,火冰毒飞行虫,2.1,90,茂盛,鼓手寶可夢,能夠透過打鼓來控制特別的樹樁中的力量，操縱樹根進行戰鬥。,ＨＰ减少的时候，草属的招式威力会提高。,
炎兔儿,火,水地面岩石,0.3,4.5,勐火,兔子寶可夢,不斷奔跑使體溫升高後，火之能量會在牠體內循環，促使牠發揮出真正的力量。,ＨＰ减少的时候，火属的招式威力会提高。,
腾蹴小将,火,水地面岩石,0.6,9,勐火,兔子寶可夢,蓬鬆的體毛幫助牠增強了抵禦寒冷的能力，也使牠能夠使出溫度更高的火屬性招式。,ＨＰ减少的时候，火属的招式威力会提高。,
闪焰王牌,火,水地面岩石,1.4,33,勐火,前鋒寶可夢,會將小石頭像足球般用腳挑起，製造出纏繞著火焰的足球。會用猛烈的踢射來燃燒對手。,ＨＰ减少的时候，火属的招式威力会提高。,
泪眼蜥,水,草电,0.3,4,激流,水蜥寶可夢,害怕時流下的淚水中含有相當於１００顆洋蔥的催淚成分，能讓對手淚流不止。,ＨＰ减少的时候，水属的招式威力会提高。,
变涩蜥,水,草电,0.7,11.5,激流,水蜥寶可夢,很有戰略頭腦，會把手掌分泌出的水分做成水彈攻擊敵人。,ＨＰ减少的时候，水属的招式威力会提高。,
千面避役,水,草电,1.9,45.2,激流,特工寶可夢,身上隱藏著多種特殊能力，例如從手指噴射水流，以及用背部的翼膜滑翔等等。,ＨＰ减少的时候，水属的招式威力会提高。,
贪心栗鼠,一般,格斗,0.3,2.5,颊囊,貪吃寶可夢,會把樹果囤積在雙頰裡。沒有樹果而感到嘴裡空虛時，會含著小石子來忍過去。,无论是哪种树果，吃下去后ＨＰ都会回復。,
藏饱栗鼠,一般,格斗,0.6,6,颊囊,貪慾寶可夢,只要發現長有樹果的樹，即使是在對戰當中，也會一溜煙地前去採集。,无论是哪种树果，吃下去后ＨＰ都会回復。,
稚山雀,飞行,电冰岩石,0.2,1.8,锐利目光,小鳥寶可夢,性情勇敢，魯莽衝動。眼睛周圍的白色花紋會讓懦弱的寶可夢感到畏懼。,靠着锐利的目光，命中率不会被降低。特紧张感让对手感到紧张，无法吃树果。,
蓝鸦,飞行,电冰岩石,0.8,16,锐利目光,烏鴉寶可夢,人們認為牠會擁有高度智慧，是因為相較於其他鳥寶可夢，牠的腦子是比較大的。,靠着锐利的目光，命中率不会被降低。特紧张感让对手感到紧张，无法吃树果。,
钢铠鸦,飞行钢,火电,2.2,75,压迫感,烏鴉寶可夢,如果在飛行中遭到天敵的襲擊，也會給乘客帶來危險，因此在帕底亞無法從事計程車的工作。,给予对手压迫感，大量减少其使用招式的ＰＰ。特紧张感让对手感到紧张，无法吃树果。,
索侦虫,虫,火飞行岩石,0.4,8,虫之预感,幼蟲寶可夢,總是孜孜不倦地收集情報，所以頭腦相當地聰明，但是力量方面就差了一些。,ＨＰ减少的时候，虫属的招式威力会提高。特复眼因为拥有复眼，会提高招式的命中率。,
天罩虫,虫超能力,火飞行虫岩石幽灵恶,0.4,19.5,虫之预感,天線罩寶可夢,雖然幾乎從來不動但還是活著的。牠的超能力似乎是在縮在殼裡不吃不喝的過程中覺醒的。,ＨＰ减少的时候，虫属的招式威力会提高。特复眼因为拥有复眼，会提高招式的命中率。,
以欧路普,虫超能力,火飞行虫岩石幽灵恶,0.4,40.8,虫之预感,七星寶可夢,以頭腦聰慧而聞名。大大的腦子是牠擁有出眾精神力量的證明。,ＨＰ减少的时候，虫属的招式威力会提高。特察觉出场时，可以察觉对手的持有物。,
偷儿狐,恶,格斗虫妖精,0.6,8.9,逃跑,狐狸寶可夢,靠搶奪其他寶可夢找到的食物為生。腳上長著軟乎乎的肉球，走路時不會發出絲毫聲響。,一定能从野生宝可梦那裡逃走。特性轻装失去所持有的道具时，速度会提高。,
狐大盗,恶,格斗虫妖精,1.2,19.9,逃跑,狐狸寶可夢,會偷偷在看中的獵物身上留下標記，追蹤目標的氣味，在對方放鬆警戒時偷盜。,一定能从野生宝可梦那裡逃走。特性轻装失去所持有的道具时，速度会提高。,
幼棉棉,草,火冰毒飞行虫,0.4,2.2,棉絮,花飾寶可夢,當牠把單腳紮進地面裡，並且沐浴充分的陽光，花瓣就會染上鮮豔的顏色。,受到攻击时会撒下棉絮，降低除自己以外的所有宝可梦的速度。特性再生力退回同行队伍后，ＨＰ会少量回复。,
白蓬蓬,草,火冰毒飞行虫,0.5,2.5,棉絮,棉飾寶可夢,棉絮的種子營養豐富。牠會藉由風散播種子，讓草木和寶可夢變得活力十足。,受到攻击时会撒下棉絮，降低除自己以外的所有宝可梦的速度。特性再生力退回同行队伍后，ＨＰ会少量回复。,
毛辫羊,一般,格斗,0.6,6,毛茸茸,綿羊寶可夢,捲捲的體毛彈性十足。就算從懸崖上掉下去，也不會受傷。,会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特逃跑一定能从野生,
毛毛角羊,一般,格斗,1.3,43,毛茸茸,綿羊寶可夢,用牠那彈力十足的毛織成的地毯就像是彈簧墊，可以站上去蹦蹦跳。,会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特不屈之心每次畏缩时，不屈之心就会燃起，速度也会提高。,
咬咬龟,水,草电,0.3,8.5,强壮之颚,咬住寶可夢,大大的門牙還未長全。牙齒癢的時候會和夥伴們大口咬住彼此的角來玩。,颚部强壮，会提高啃咬类招式的威力。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
暴噬龟,水岩石,草电格斗地面,1,115.5,强壮之颚,緊咬寶可夢,鋸齒狀的超級大嘴一咬就能咬碎岩石。性格非常地凶暴。,颚部强壮，会提高啃咬类招式的威力。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。,
来电汪,电,地面,0.3,13.5,捡球,小狗寶可夢,奔跑的時候會從尾巴的根部製造出電能。在伽勒爾是很受歡迎的牧羊犬。,奔跑的时候会从尾巴的根部制造出电能。在伽勒尔是很受欢迎的牧羊犬。,
逐电犬,电,地面,1,34,强壮之颚,狗寶可夢,會製造電能，並傳送到腳上作為奔跑時的輔助動力。能不眠不休地奔跑三天三夜。,颚部强壮，会提高啃咬类招式的威力。,
小炭仔,岩石,水草格斗地面钢,0.3,12,蒸汽机,煤炭寶可夢,晴天時會到草原東奔西跑，然後吃掉被牠那長得像是車輪的腳捲進去的草。,受到水属或火属招式攻击时，速度会极大幅提高。特耐热靠着耐热的体质，让火属,
大炭车,岩石火,水格斗地面岩石,1.1,78,蒸汽机,煤炭寶可夢,情緒只要激昂起來，體內的溫度就會上升。會噴著火焰忙碌地奔跑。,受到水属或火属招式攻击时，速度会极大幅提高。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
巨炭山,岩石火,水格斗地面岩石,2.8,310.5,蒸汽机,煤炭寶可夢,會大幅晃動身體，好讓自己可以從熊熊燃燒的背部往四處噴灑煤炭來威嚇對手,受到水属或火属招式攻击时，速度会极大幅提高。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。,
啃果虫,草龙,冰毒飞行虫龙妖精,0.2,0.5,熟成,蘋果居寶可夢,吃蘋果的果肉長大。會用體液增加蘋果外皮的強度，同時避免蘋果腐爛。,让树果成熟，使效果变为２倍。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
苹裹龙,草龙,冰毒飞行虫龙妖精,0.3,1,熟成,蘋果翅寶可夢,會搖搖晃晃地飛在空中尋找可乘之機，然後吐出連金屬都能溶化的強酸性液體來攻擊目標。,让树果成熟，使效果变为２倍。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
丰蜜龙,草龙,冰毒飞行虫龙妖精,0.4,13,熟成,蘋果汁寶可夢,主食是甜蘋果。除此之外也會吃被牠甜甜的蜜汁吸引而來的小型蟲寶可夢。,让树果成熟，使效果变为２倍。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。,
沙包蛇,地面,水草冰,2.2,7.6,吐沙,沙蛇寶可夢,頸部的囊袋就像氣球一樣能伸縮自如，而隨著不斷蛻皮，伸縮性會隨之增加。,受到攻击时，会刮起沙暴。特蜕皮透过蜕去身上的皮，有时会治癒异常状态。,
沙螺蟒,地面,水草冰,3.8,65.5,吐沙,沙蛇寶可夢,會把身體伸長到極限後，用足以沖走大卡車的氣勢噴射出沙子。,受到攻击时，会刮起沙暴。特蜕皮透过蜕去身上的皮，有时会治癒异常状态。,
古月鸟,飞行水,电岩石,0.8,18,一口飞弹,一口吞寶可夢,雖然擁有一擊定勝負的威力，但因為記性實在太差，對戰還沒結束就會忘記對手是誰。,冲浪或潜水时会叼来猎物。当受到伤害时，会吐出猎物攻击对手。,
刺梭鱼,水,草电,0.5,1,悠游自如,突擊寶可夢,游泳只能游直線。因吃太飽而行動變得遲緩的個體會先遭到電海燕的群體襲擊。,天气为下雨时，速度会提高。,
戽斗尖梭,水,草电,1.3,30,悠游自如,穿刺寶可夢,會旋轉尾鰭猛然跳起，然後以強勁的力道咬住飛在水面附近的長翅鷗。,天气为下雨时，速度会提高。,
毒电婴,电毒,地面超能力,0.4,11,胆怯,嬰兒寶可夢,就算喝下污水也能安然無恙。那是因為牠會靠著體內的器官把污水過濾成對自己無害的毒液。,受到恶属、幽灵属和虫属的招式攻击，或受到威吓时，会因胆怯而使得速度提高。特,
颤弦蝾螈,电毒,地面超能力,1.6,40,庞克,龐克寶可夢,當牠一邊排出毒汗一邊放電的時候，周圍會響起如同吉他般的旋律。,摇滚声音招式的威力会提高。受到声音招式的伤害会减半。特正电场上的伙伴之中，如果有正电或负电特的,
烧火蚣,火虫,水飞行岩石,0.7,1,引火,發熱寶可夢,靠儲存在體內的可燃氣體來發熱。熱度最高的是腹部的黃色部分。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特白色烟雾被白色烟雾保护着，不会被对手降低能力。,
焚焰蚣,火虫,水飞行岩石,3,120,引火,發熱寶可夢,發熱時的體溫大約有８００度。會像鞭子那樣彎曲身體，朝著敵人彈跳過去。,受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特白色烟雾被白色烟雾保护着，不会被对手降低能力。,
拳拳蛸,格斗,飞行超能力妖精,0.6,4,柔软,纏人寶可夢,會為了尋找食物而登上陸地。擁有旺盛的好奇心，不管看到什麼，都會先用觸手打一打再說。,因为身体柔软，不会陷入麻痺状态。,
八爪武师,格斗,飞行超能力妖精,1.6,39,柔软,柔術寶可夢,全身都是肌肉。會用觸手施展絞技，威力無與倫比。,因为身体柔软，不会陷入麻痺状态。,
来悲茶,幽灵,幽灵恶,0.1,0.2,碎裂铠甲,紅茶寶可夢,死於孤獨的死者之魂附在了喝剩的紅茶上。會在旅館或民宅出現。,因物理招式受到伤害时，防御会降低，速度会大幅提高。,
怖思壶,幽灵,幽灵恶,0.2,0.4,碎裂铠甲,紅茶寶可夢,住在什麼茶壺裡都不會對牠帶來影響，但原本的紅茶卻似乎會使牠的性情產生變化。,因物理招式受到伤害时，防御会降低，速度会大幅提高。,
迷布莉姆,超能力,虫幽灵恶,0.4,3.4,治癒之心,寧靜寶可夢,由於隨時都會有生物的情感流進大腦裡，因此平時喜好待在附近沒有任何生物的環境。,有时会治癒同伴的异常状态。特危险预知察觉对手持有的危险招式。,
提布莉姆,超能力,虫幽灵恶,0.6,4.8,治癒之心,肅靜寶可夢,高亢的情緒在牠看來似乎都是強烈的噪音，即使是幸福的心情也不例外。,有时会治癒同伴的异常状态。特危险预知察觉对手持有的危险招式。,
布莉姆温,超能力妖精,毒幽灵钢,2.1,5.1,治癒之心,寂靜寶可夢,只要有誰踏進自己棲息的森林裡，牠就會釋放光束讓對方昏厥，再以精神力量強化爪子後將其撕碎。,有时会治癒同伴的异常状态。特危险预知察觉对手持有的危险招式。,
捣蛋小妖,恶妖精,毒钢妖精,0.4,5.5,恶作剧之心,捉弄寶可夢,之所以會欺負與自己親密的對象，是因為如果不攝取負面情緒，就會變得很煩躁。,可以抢先使出变化类招式。特察觉出场时，可以察觉对手的持有物。,
