姓名,进化,属性,弱点,身高,体重,特征,数据
强颚鸡母虫,虫电宝,虫,火,0.4,4.4,虫之预感,幼虫宝可梦强颚鸡母虫大大的颚部拥有能够折断粗壮树枝的威力。连天敌稚山雀都会因此逃跑。ＨＰ减少的时候，虫属的招式威力会提高。
虫电宝,锹农炮虫,虫电,火,0.5,10.5,蓄电,蓄电池宝可梦用结实的外壳保护自己。会从颚部的尖端放出电流反击对手。会提高我方的特殊招式的威力。
锹农炮虫,锹农炮虫,虫电,火,1.5,45,飘浮,锹形虫宝可梦用腹部发电，并把电力集中在大大的颚部，释放出能量惊人的光束。从地面浮起，从而不会受到地面属招式的攻击。
好胜蟹,好胜毛蟹,格斗,飞行,0.6,7,怪力钳,拳斗宝可梦会击落树上的树果来吃。训练和觅食都能同时达成，简直可以说是一举两得。因为拥有以力量为傲的钳子，不会被对手降低攻击。特铁拳使用到拳头的招式威力会提高。
好胜毛蟹,好胜毛蟹,格斗冰,火,1.7,180,怪力钳,毛蟹宝可梦脱落的钳子十分美味。还有些训练家会特地带著爱吃豚到山里找牠。因为拥有以力量为傲的钳子，不会被对手降低攻击。特铁拳使用到拳头的招式威力会提高。
花舞鸟,花舞鸟,火飞行,水电,0.6,3.4,舞者,舞蹈宝可梦热情的舞姿似乎很符合帕底亚人们的性情，因此非常地受欢迎。当有谁使出跳舞招式时，自己也能接着使出跳舞招式。
萌虻,蝶结萌虻,虫妖精,火毒,0.1,0.2,采蜜,蜂虻宝可梦花粉和花蜜是萌虻的最爱。为了采集幼棉棉的花粉，萌虻会在牠们附近飞来飞去。战斗结束时，有时候会捡来甜甜蜜。特鳞粉被鳞粉守护着，不会受到招式的追加效果影响。
蝶结萌虻,蝶结萌虻,虫妖精,火毒,0.2,0.5,采蜜,蜂虻宝可梦用花粉和花蜜制作团子。依调配的种类和剂量不同，团子的效果也不一样。战斗结束时，有时候会捡来甜甜蜜。特鳞粉被鳞粉守护着，不会受到招式的追加效果影响。
岩狗狗,鬃岩狼人,岩石,水草,0.5,9.2,锐利目光,小狗宝可梦年幼时期非常容易亲近。虽然长大后脾气会变得粗暴，却绝不会忘记主人的恩情。靠着锐利的目光，命中率不会被降低。特干劲透过激发出干劲，不会陷入睡眠状态。
鬃岩狼人,鬃岩狼人,岩石,水草,0.8,25,锐利目光,狼宝可梦虽然平时不会发出吼叫声，但一旦进入战斗模式，就会毫不留情地将对手逼到绝境。靠着锐利的目光，命中率不会被降低。特拨沙天气为沙暴时，速度会提高。
弱丁鱼,弱丁鱼,水,草电,0.2,0.3,鱼群,小鱼宝可梦单独１只十分弱小，所以学会了透过群体行动，来对抗敌人的能力。ＨＰ多的时候会聚起来变强。ＨＰ剩馀量变少时，群体会分崩离析。
好坏星,超坏星,毒水,电,0.4,8,不仁不义,非星宝可梦会在海边徘徊觅食。不时都会因为要吃啪嚓海胆断掉的刺而被电得发麻。攻击中毒状态的对手时，必定会击中要害。特柔软因为身体柔软，不会陷入麻痺状态。
超坏星,超坏星,毒水,电,0.7,14.5,不仁不义,非星宝可梦会把自己的脚搭起的圆顶当成住处。能够用角侦测海流来探查四周的状况。攻击中毒状态的对手时，必定会击中要害。特柔软因为身体柔软，不会陷入麻痺状态。
泥驴仔,重泥挽马,地面,水草,1,110,我行我素,驴宝可梦裹在身上的泥巴是吃下的土反刍而成的。就算长时间曝晒在阳光下也不会干掉。因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特持久力受到攻击时，防御会提高。
重泥挽马,重泥挽马,地面,水草,2.5,920,我行我素,挽马宝可梦除了能胜任粗重的工作，还能制造出陶器材料的优质泥土，所以一直以来都很受到珍视。因为我行我素，不会陷入溷乱状态。面对威吓也不会动摇。特持久力受到攻击时，防御会提高。
滴蛛,滴蛛霸,水虫,电,0.3,4,水泡,水泡宝可梦用臀部让水泡膨胀，并包裹住自己的头部。会和同类比拼水泡的大小。降低与自己相对的火属招式的威力，不会灼伤。
滴蛛霸,滴蛛霸,水虫,电,1.8,82,水泡,水泡宝可梦会用脚发射水泡，包住猎物让其溺水，然后花时间慢慢品尝。降低与自己相对的火属招式的威力，不会灼伤。
伪螳草,兰螳花,草,火,0.3,1.5,叶子防守,镰草宝可梦极度厌恶睡午觉的时候遭到打扰。会用日光浴储存的能量放射出光束。天气为晴朗时，不会陷入异常状态。
兰螳花,兰螳花,草,火,0.9,18.5,叶子防守,花镰宝可梦会用甜甜花香吸引虫宝可梦接近，然后趁著牠们误以为自己是伙伴而掉以轻心时用镰刀夺取性命。天气为晴朗时，不会陷入异常状态。
睡睡菰,灯罩夜菰,草妖精,火,0.2,1.5,发光,发光宝可梦头上的蘑菇伞非常好吃，虽然会被森林中的宝可梦吃掉，但是过了一晚上就会再生。透过让周围变亮，变得容易遇见野生的宝可梦。特性孢子透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。
灯罩夜菰,灯罩夜菰,草妖精,火,1,11.5,发光,发光宝可梦用孢子闪烁著的光吸引猎物，让对方睡著。会从指尖吸收精气。透过让周围变亮，变得容易遇见野生的宝可梦。特性孢子透过攻击有时会使接触到自己的对手，陷入中毒、麻痺或睡眠状态。
夜盗火蜥,焰后蜥,毒火,水,0.6,4.8,腐蚀,毒蜥宝可梦会挑衅猎物并引进狭窄的岩堆里，接著喷出能造成头晕的毒瓦斯后夺其性命。就算对方是钢属性或毒属性宝可梦，也可让对方陷入中毒状态。
焰后蜥,焰后蜥,毒火,水,1.2,22.2,腐蚀,毒蜥宝可梦会用妖艳的身姿诱惑被牠的毒瓦斯弄得头昏眼花的对手，使其变成自己忠实的仆人。就算对方是钢属性或毒属性宝可梦，也可让对方陷入中毒状态。
童偶熊,穿着熊,一般格斗,格斗,0.5,6.8,毛茸茸,抓狂宝可梦毛茸茸的毛皮摸起来触感超群，但粗心大意地向牠伸出手的人基本上都会遭到牠的剧烈反击。会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特笨拙无法使用持有的道具。
穿着熊,穿着熊,一般格斗,格斗,2.1,135,毛茸茸,强臂宝可梦如果牠认定你是牠的伙伴，便会试著拥抱你来表示喜爱。但这会弄碎你的骨头，非常危险。会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特笨拙无法使用持有的道具。
甜竹竹,甜舞妮,草,火,0.3,3.2,叶子防守,水果宝可梦汗水带著像是经过熬煮的水果甜味，在过去甜食尚少的时代相当受到人们珍视。天气为晴朗时，不会陷入异常状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。
甜舞妮,甜冷美后,草,火,0.7,8.2,叶子防守,水果宝可梦会散发出能振奋心情的香甜气味。作为止汗剂的香味拥有极高的人气。天气为晴朗时，不会陷入异常状态。特迟钝感觉迟钝，不会陷入着迷和被挑衅状态。面对威吓也不会动摇。
甜冷美后,甜冷美后,草,火,1.2,21.4,叶子防守,水果宝可梦虽然性情高傲且攻击性强，但据说只要摸摸牠果蒂的冠，牠立刻会变得很温顺。天气为晴朗时，不会陷入异常状态。特女王的威严向对手施加威慑力，使其无法对我方使出先制招式。
花疗环环,花疗环环,妖精,毒钢,0.1,0.3,花幕,摘花宝可梦会从头上伸出有黏性的藤蔓摘下花朵，拿来装饰自己。没有花就会感到不安。我方的草属性宝可梦能力不会降低。也不会陷入异常状态。特性先行治疗可以抢先使出回复招式。
智挥猩,智挥猩,一般超能力,虫,1.5,76,精神力,贤者宝可梦配合宝可梦靠着经过锻炼的精神，不会因对手的攻击而畏缩。面对威吓也不会动摇。特心灵感应预测我方的攻击，并闪避其招式。
投掷猴,投掷猴,格斗,飞行,2,82.8,接球手,配合宝可梦会投出坚硬的树果战斗。不会听从投球技术差劲的训练家所下的指示。接球手继承被打倒的同伴的特性，变为相同的特性。
胆小虫,具甲武者,虫水,电,0.5,12,跃跃欲逃,装甲宝可梦无论是腐烂的东西还是垃圾都能吃光光，是大自然的清道夫。巢穴附近总是保持干净。欲逃ＨＰ变为一半时，会慌慌张张逃走，退回同行队伍里面。
具甲武者,具甲武者,虫水,电,2,108,危险回避,装甲宝可梦为了胜利不择手段。会看准敌人疏忽的时机，用前脚上的小爪子解决对方。ＨＰ减到一半时，为了避开危险，会退回同行队伍里面。
沙丘娃,噬沙堡爷,幽灵地面,水草,0.5,70,遇水凝固,沙丘宝可梦万一铲子弄丢了，就会用树枝等东西插著代替，好让牠在找到新铲子前能分散注意力。受到水属的招式攻击时，防御会大幅提高。
噬沙堡爷,噬沙堡爷,幽灵地面,水草,1.3,250,遇水凝固,沙堡宝可梦会把小型宝可梦吸进沙子构成的身体里，任凭自己吸取精气的恐怖宝可梦。凝固受到水属的招式攻击时，防御会大幅提高。
拳海参,拳海参,水,草电,0.3,1.2,飞出的内在物,海参宝可梦栖息在温暖的浅滩。遇到敌人时，会从嘴里吐出内脏来攻击对方。被对手打倒的时候，会给予对手相当于ＨＰ剩馀量的伤害。
属性：空,银伴战兽,一般,格斗,1.9,120.5,战斗盔甲,人工宝可梦传言说有人偷走了机密研究资料，在伽勒尔地区创造出了新的「属性：空」。被坚硬的甲壳守护着，不会被对手的攻击击中要害。
银伴战兽,银伴战兽,一般,格斗,2.3,100.5,ＡＲ系统,人工宝可梦与伙伴间深厚的牵绊让蕴藏在自己体内的力量觉醒。可以随意改变属性。根据持有的记忆碟，自己的属会改变。
小陨星,小陨星,岩石飞行,水电,0.3,40,界限盾壳,流星宝可梦栖息在臭氧层，被更强大的宝可梦当成了食物。在逃跑的过程中落到了地上。ＨＰ变为一半时，壳会坏掉，变得更有攻击。
树枕尾熊,树枕尾熊,一般,格斗,0.4,19.9,绝对睡眠,半梦半醒宝可梦终其一生都在睡觉。作为主食的树叶带有剧毒，只有树枕尾熊才能将毒分解。总是半梦半醒的状态，绝对不会醒来。可在睡着的状况下进行攻击。
爆焰龟兽,爆焰龟兽,火龙,地面,2,212,硬壳盔甲,爆炸龟宝可梦背上的甲壳上敷了炸药。会用大爆炸去回击来攻击自己的敌人。被坚硬的壳保护着，对手的攻击不会击中要害。
托戈德玛尔,托戈德玛尔,电钢,火,0.3,3.3,铁刺,蜷缩宝可梦用背上的长毛来接收闪电和电气宝可梦释放的电击，然后将之储存在电囊中。用铁刺给予接触到自己的对手伤害。特避雷针将电属的招式吸引到自己身上，不但不会受到伤害，反而会提高特攻。
谜拟Ｑ,谜拟Ｑ,幽灵妖精,幽灵,0.2,0.7,画皮,画皮宝可梦栖息在阳光照射不到的阴暗处。在人们面前现身时会用看似皮卡丘的布来隐藏全身。用画皮覆盖住身体，可防住１次攻击。
磨牙彩皮鱼,磨牙彩皮鱼,水超能力,草电虫,0.9,19,鲜艳之躯,磨牙宝可梦会用力磨牙刺激大脑，然后从头部的突起物发射藉其产生的精神力量。让对手吓一跳，使其无法对我方使出先制招式。特强壮之颚颚部强壮，会提高啃咬类招式的威力。
老翁龙,老翁龙,一般龙,冰,3,185,怒火冲天,悠游宝可梦住在海拔超过３０００公尺的山上。偶尔也会来到城镇，与住在那里的孩子们一起玩耍。ＨＰ因对手的攻击降到一半时，特攻会提高。特食草受到草属的招式攻击时，不但不会受到伤害，反而攻击会提高。
破破舵轮,破破舵轮,幽灵草,火冰,3.9,210,钢能力者,碎藻宝可梦在海底飘荡的海藻吸收了沉船的零件后转生而成的幽灵宝可梦。钢属性的招式威力会提高。
心鳞宝,鳞甲龙,龙,冰龙,0.6,29.7,防弹,鳞片宝可梦和伙伴们互相撞击头上的鳞片，学习战斗的方法。这样做可以锻炼牠们的技术和心志。可防住对手的球和弹类的招式。特隔音透过遮蔽声音，不受到声音招式的攻击。
鳞甲龙,杖尾鳞甲龙,龙格斗,冰,1.2,47,防弹,鳞片宝可梦会向输给自己的对手展示自己鳞片脱落、满是伤痕的身体，来证明自己的强者地位。可防住对手的球和弹类的招式。特隔音透过遮蔽声音，不受到声音招式的攻击。
杖尾鳞甲龙,杖尾鳞甲龙,龙格斗,冰,1.6,78.2,防弹,鳞片宝可梦遇到敌人便会敲响尾部的鳞片来威吓对方。只会与不畏惧自己的强者战斗。可防住对手的球和弹类的招式。特隔音透过遮蔽声音，不受到声音招式的攻击。
卡璞・鸣鸣,卡璞・鸣鸣,电妖精,毒,1.8,20.5,电气制造者,土地神宝可梦虽被称为守护神，但会去袭击惹自己不开心的人或宝可梦，是个性情凶悍的神。出场时，会布下电气场地。
卡璞・蝶蝶,卡璞・蝶蝶,超能力妖精,毒,1.2,18.6,精神制造者,土地神宝可梦会四处散布闪闪发亮的鳞粉，治愈人和宝可梦的伤。是阿罗拉的人们信奉的守护神。出场时，会布下精神场地。
卡璞・哞哞,卡璞・哞哞,草妖精,火冰,1.9,45.5,青草制造者,土地神宝可梦虽被称呼为守护神，但有著会将自己视为敌人的对手彻底击溃的狂暴个性。出场时，会布下青草场地。
卡璞・鳍鳍,卡璞・鳍鳍,水妖精,草电毒,1.3,21.2,薄雾制造者,土地神宝可梦栖息在浓雾的深处，受到了人们的敬畏。能够操纵水，是波尼的守护神。出场时，会布下薄雾场地。
科斯莫古,科斯莫姆,超能力,虫,0.2,0.1,纯朴,星云宝可梦不可靠的气体状身体只要稍微有点风就会被吹走，但牠看起来一点都不在意。可无视对手能力的变化，进行攻击。
科斯莫姆,索尔迦雷欧,超能力,虫,0.1,999.9,结实,原始星宝可梦太古时代支配著阿罗拉的国王称呼牠为星之茧，为了崇拜牠而建造了祭坛。在ＨＰ全满时受到招式攻击不会被一击打倒。一击必杀的招式也没有效果。
索尔迦雷欧,索尔迦雷欧,超能力钢,火,3.4,230,金属,日轮宝可梦打开究极之洞的后果，是有可能把异世界的能量和生命召唤到这个世界来。防护不会因对手的招式或特而被降低能力。
露奈雅拉,露奈雅拉,超能力幽灵,幽灵,4,120,幻影,月轮宝可梦在遥远过去的文献里，牠被人们以邀引月亮之兽的名字记录了下来。防守ＨＰ全满时，受到的伤害会变少。
虚吾伊德,虚吾伊德,岩石毒,水,1.2,55.5,异兽提升,寄生宝可梦被称为究极异兽，是来自其他世界的生命体。被认为拥有强烈的神经毒。打倒对手的时候，会提高自己最高的那项能力。
爆肌蚊,爆肌蚊,虫格斗,火,2.4,333.6,异兽提升,在这个世界是危险的异类，但在原本栖息的世界里，牠似乎是常见的普通生物。膨胀宝可梦打倒对手的时候，会提高自己最高的那项能力。
费洛美螂,费洛美螂,虫格斗,火,1.8,25,异兽提升,美艳宝可梦栖息在其他世界的生命体。身体纤细柔软，但似乎蕴藏著强大的力量。打倒对手的时候，会提高自己最高的那项能力。
电束木,电束木,电,地面,3.8,100,异兽提升,灯饰宝可梦在这个世界是危险的异类，但在原本栖息的世界里，牠似乎是常见的普通生物。打倒对手的时候，会提高自己最高的那项能力。
铁火辉夜,铁火辉夜,钢飞行,火电,9.2,999.9,异兽提升,发射宝可梦是一种危险的究极异兽。从牠巨大的双臂中检测到了强大的能量反应。打倒对手的时候，会提高自己最高的那项能力。
纸御剑,纸御剑,草钢,火,0.3,0.1,异兽提升,拔刀宝可梦从这种究极异兽像纸一样薄的身体上，可以感受到如同研磨过的刀刃般的锋利度。打倒对手的时候，会提高自己最高的那项能力。
恶食大王,恶食大王,恶龙,冰,5.5,888,异兽提升,异食宝可梦在这个世界是危险的异类，但在原本栖息的世界里，牠似乎是常见的普通生物。打倒对手的时候，会提高自己最高的那项能力。
奈克洛兹玛,奈克洛兹玛,超能力,虫,2.4,230,棱镜装甲,棱镜宝可梦为了寻求作为能量的光而发狂的牠看起来有些痛苦。似乎是来自于其他世界。受到效果绝佳的攻击时，可减弱其威力。
玛机雅娜,玛机雅娜,钢妖精,火,1,80.5,魂心,人造宝可梦能够让意识同步，借此理解对方的心情。在照顾别人时是很方便的能力。 能够让意识同步，借此理解对方的心情。在照顾别人时是很方便的能力。
玛夏多,玛夏多,格斗幽灵,飞行,0.7,22.2,技术高手,栖影宝可梦能够潜入对手的影子，模仿对手的动作和能力。在模仿的过程中会变得比本尊更强。可让威力低的招式提高威力来进行攻击。
毒贝比,四颚针龙,毒,地面,0.6,1.8,异兽提升,毒针宝可梦在异世界是人们十分熟悉的究极异兽，有时甚至会被选为踏上旅程时的伙伴。打倒对手的时候，会提高自己最高的那项能力。
四颚针龙,四颚针龙,毒龙,冰,3.6,150,异兽,分类毒针宝可梦体内储存著数百公升的毒液，是被称为究极异兽的生物中的一种。提升打倒对手的时候，会提高自己最高的那项能力。
垒磊石,垒磊石,岩石钢,水,5.5,820,异兽,石墙宝可梦从究极之洞中出现。似乎是由多数的生命堆积起来形成的个体。提升打倒对手的时候，会提高自己最高的那项能力。
砰头小丑,砰头小丑,火幽灵,水,1.8,13,异兽,烟火宝可梦会扭动著身体靠近人，然后突然让头爆炸。似乎是究极异兽的一种。提升打倒对手的时候，会提高自己最高的那项能力。
捷拉奥拉,捷拉奥拉,电,地面,1.5,44.5,蓄电,奔雷宝可梦会用与落雷相同的速度 急速接近敌人，然后用 锐利的爪子把对手撕碎。受到电属的招式攻击时，不会受到伤害，而是会回复。
美录坦,美录梅塔,钢,火,0.2,8,磁力,螺帽宝可梦身体是融化成液状的钢铁。能够将地底的铁或其他金属溶解后吸收进体内。用磁力吸住钢属性的宝可梦，使其无法逃走。
美录梅塔,美录梅塔,钢,火,2.5,800,铁拳,螺帽宝可梦拥有产出铁的力量，因而受到人们的崇拜。不知为何，在经过 3000 年的时间后苏醒过来。使用到拳头的招式威力会提高。
敲音猴,啪咚猴,草,火,0.3,5,茂盛,小猴宝可梦当牠用特别的木棒敲奏时，能够给予花草活力的力量就会变成音波扩散开来。ＨＰ减少的时候，草属的招式威力会提高。
啪咚猴,轰擂金刚猩,草,火,0.7,14,茂盛,节拍宝可梦越是能用２根木棒敲奏出激烈节拍的啪咚猴，越是能获得伙伴们的尊敬。ＨＰ减少的时候，草属的招式威力会提高。
轰擂金刚猩,轰擂金刚猩,草,火,2.1,90,茂盛,鼓手宝可梦能够透过打鼓来控制特别的树桩中的力量，操纵树根进行战斗。ＨＰ减少的时候，草属的招式威力会提高。
炎兔儿,腾蹴小将,火,水,0.3,4.5,勐火,兔子宝可梦不断奔跑使体温升高后，火之能量会在牠体内循环，促使牠发挥出真正的力量。ＨＰ减少的时候，火属的招式威力会提高。
腾蹴小将,闪焰王牌,火,水,0.6,9,勐火,兔子宝可梦蓬松的体毛帮助牠增强了抵御寒冷的能力，也使牠能够使出温度更高的火属性招式。ＨＰ减少的时候，火属的招式威力会提高。
闪焰王牌,闪焰王牌,火,水,1.4,33,勐火,前锋宝可梦会将小石头像足球般用脚挑起，制造出缠绕著火焰的足球。会用猛烈的踢射来燃烧对手。ＨＰ减少的时候，火属的招式威力会提高。
泪眼蜥,变涩蜥,水,草电,0.3,4,激流,水蜥宝可梦害怕时流下的泪水中含有相当于１００颗洋葱的催泪成分，能让对手泪流不止。ＨＰ减少的时候，水属的招式威力会提高。
变涩蜥,千面避役,水,草电,0.7,11.5,激流,水蜥宝可梦很有战略头脑，会把手掌分泌出的水分做成水弹攻击敌人。ＨＰ减少的时候，水属的招式威力会提高。
千面避役,千面避役,水,草电,1.9,45.2,激流,特工宝可梦身上隐藏著多种特殊能力，例如从手指喷射水流，以及用背部的翼膜滑翔等等。ＨＰ减少的时候，水属的招式威力会提高。
贪心栗鼠,藏饱栗鼠,一般,格斗,0.3,2.5,颊囊,贪吃宝可梦会把树果囤积在双颊里。没有树果而感到嘴里空虚时，会含著小石子来忍过去。无论是哪种树果，吃下去后ＨＰ都会回复。
藏饱栗鼠,藏饱栗鼠,一般,格斗,0.6,6,颊囊,贪欲宝可梦只要发现长有树果的树，即使是在对战当中，也会一溜烟地前去采集。无论是哪种树果，吃下去后ＨＰ都会回复。
稚山雀,蓝鸦,飞行,电冰,0.2,1.8,锐利目光,小鸟宝可梦性情勇敢，鲁莽冲动。眼睛周围的白色花纹会让懦弱的宝可梦感到畏惧。靠着锐利的目光，命中率不会被降低。特紧张感让对手感到紧张，无法吃树果。
蓝鸦,钢铠鸦,飞行,电冰,0.8,16,锐利目光,乌鸦宝可梦人们认为牠会拥有高度智慧，是因为相较于其他鸟宝可梦，牠的脑子是比较大的。靠着锐利的目光，命中率不会被降低。特紧张感让对手感到紧张，无法吃树果。
钢铠鸦,钢铠鸦,飞行钢,火电,2.2,75,压迫感,乌鸦宝可梦如果在飞行中遭到天敌的袭击，也会给乘客带来危险，因此在帕底亚无法从事计程车的工作。给予对手压迫感，大量减少其使用招式的ＰＰ。特紧张感让对手感到紧张，无法吃树果。
索侦虫,天罩虫,虫,火,0.4,8,虫之预感,幼虫宝可梦总是孜孜不倦地收集情报，所以头脑相当地聪明，但是力量方面就差了一些。ＨＰ减少的时候，虫属的招式威力会提高。特复眼因为拥有复眼，会提高招式的命中率。
天罩虫,以欧路普,虫超能力,火,0.4,19.5,虫之预感,天线罩宝可梦虽然几乎从来不动但还是活著的。牠的超能力似乎是在缩在壳里不吃不喝的过程中觉醒的。ＨＰ减少的时候，虫属的招式威力会提高。特复眼因为拥有复眼，会提高招式的命中率。
以欧路普,以欧路普,虫超能力,火,0.4,40.8,虫之预感,七星宝可梦以头脑聪慧而闻名。大大的脑子是牠拥有出众精神力量的证明。ＨＰ减少的时候，虫属的招式威力会提高。特察觉出场时，可以察觉对手的持有物。
偷儿狐,狐大盗,恶,格斗,0.6,8.9,逃跑,狐狸宝可梦靠抢夺其他宝可梦找到的食物为生。脚上长著软乎乎的肉球，走路时不会发出丝毫声响。一定能从野生宝可梦那里逃走。特性轻装失去所持有的道具时，速度会提高。
狐大盗,狐大盗,恶,格斗,1.2,19.9,逃跑,狐狸宝可梦会偷偷在看中的猎物身上留下标记，追踪目标的气味，在对方放松警戒时偷盗。一定能从野生宝可梦那里逃走。特性轻装失去所持有的道具时，速度会提高。
幼棉棉,白蓬蓬,草,火,0.4,2.2,棉絮,花饰宝可梦当牠把单脚扎进地面里，并且沐浴充分的阳光，花瓣就会染上鲜艳的颜色。受到攻击时会撒下棉絮，降低除自己以外的所有宝可梦的速度。特性再生力退回同行队伍后，ＨＰ会少量回复。
白蓬蓬,白蓬蓬,草,火,0.5,2.5,棉絮,棉饰宝可梦棉絮的种子营养丰富。牠会借由风散播种子，让草木和宝可梦变得活力十足。受到攻击时会撒下棉絮，降低除自己以外的所有宝可梦的速度。特性再生力退回同行队伍后，ＨＰ会少量回复。
毛辫羊,毛毛角羊,一般,格斗,0.6,6,毛茸茸,绵羊宝可梦卷卷的体毛弹性十足。就算从悬崖上掉下去，也不会受伤。会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特逃跑一定能从野生
毛毛角羊,毛毛角羊,一般,格斗,1.3,43,毛茸茸,绵羊宝可梦用牠那弹力十足的毛织成的地毯就像是弹簧垫，可以站上去蹦蹦跳。会将对手所给予的接触类招式的伤害减半，但火属招式的伤害会变为２倍。特不屈之心每次畏缩时，不屈之心就会燃起，速度也会提高。
咬咬龟,暴噬龟,水,草电,0.3,8.5,强壮之颚,咬住宝可梦大大的门牙还未长全。牙齿痒的时候会和伙伴们大口咬住彼此的角来玩。颚部强壮，会提高啃咬类招式的威力。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
暴噬龟,暴噬龟,水岩石,草电,1,115.5,强壮之颚,紧咬宝可梦锯齿状的超级大嘴一咬就能咬碎岩石。性格非常地凶暴。颚部强壮，会提高啃咬类招式的威力。特硬壳盔甲被坚硬的壳保护着，对手的攻击不会击中要害。
来电汪,逐电犬,电,地面,0.3,13.5,捡球,小狗宝可梦奔跑的时候会从尾巴的根部制造出电能。在伽勒尔是很受欢迎的牧羊犬。奔跑的时候会从尾巴的根部制造出电能。在伽勒尔是很受欢迎的牧羊犬。
逐电犬,逐电犬,电,地面,1,34,强壮之颚,狗宝可梦会制造电能，并传送到脚上作为奔跑时的辅助动力。能不眠不休地奔跑三天三夜。颚部强壮，会提高啃咬类招式的威力。
小炭仔,大炭车,岩石,水草,0.3,12,蒸汽机,煤炭宝可梦晴天时会到草原东奔西跑，然后吃掉被牠那长得像是车轮的脚卷进去的草。受到水属或火属招式攻击时，速度会极大幅提高。特耐热靠着耐热的体质，让火属
大炭车,巨炭山,岩石火,水,1.1,78,蒸汽机,煤炭宝可梦情绪只要激昂起来，体内的温度就会上升。会喷著火焰忙碌地奔跑。受到水属或火属招式攻击时，速度会极大幅提高。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。
巨炭山,巨炭山,岩石火,水,2.8,310.5,蒸汽机,煤炭宝可梦会大幅晃动身体，好让自己可以从熊熊燃烧的背部往四处喷洒煤炭来威吓对手受到水属或火属招式攻击时，速度会极大幅提高。特火焰之躯有时会让接触到自己的对手陷入灼伤状态。
啃果虫,苹裹龙,草龙,冰毒,0.2,0.5,熟成,苹果居宝可梦吃苹果的果肉长大。会用体液增加苹果外皮的强度，同时避免苹果腐烂。让树果成熟，使效果变为２倍。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
苹裹龙,苹裹龙,草龙,冰毒,0.3,1,熟成,苹果翅宝可梦会摇摇晃晃地飞在空中寻找可乘之机，然后吐出连金属都能溶化的强酸性液体来攻击目标。让树果成熟，使效果变为２倍。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
丰蜜龙,丰蜜龙,草龙,冰毒,0.4,13,熟成,苹果汁宝可梦主食是甜苹果。除此之外也会吃被牠甜甜的蜜汁吸引而来的小型虫宝可梦。让树果成熟，使效果变为２倍。特贪吃鬼原本ＨＰ变得很少时才会吃的树果，在ＨＰ还有一半时就会把它吃掉。
沙包蛇,沙螺蟒,地面,水草,2.2,7.6,吐沙,沙蛇宝可梦颈部的囊袋就像气球一样能伸缩自如，而随著不断蜕皮，伸缩性会随之增加。受到攻击时，会刮起沙暴。特蜕皮透过蜕去身上的皮，有时会治愈异常状态。
沙螺蟒,沙螺蟒,地面,水草,3.8,65.5,吐沙,沙蛇宝可梦会把身体伸长到极限后，用足以冲走大卡车的气势喷射出沙子。受到攻击时，会刮起沙暴。特蜕皮透过蜕去身上的皮，有时会治愈异常状态。
古月鸟,古月鸟,飞行水,电,0.8,18,一口飞弹,一口吞宝可梦虽然拥有一击定胜负的威力，但因为记性实在太差，对战还没结束就会忘记对手是谁。冲浪或潜水时会叼来猎物。当受到伤害时，会吐出猎物攻击对手。
刺梭鱼,戽斗尖梭,水,草电,0.5,1,悠游自如,突击宝可梦游泳只能游直线。因吃太饱而行动变得迟缓的个体会先遭到电海燕的群体袭击。天气为下雨时，速度会提高。
戽斗尖梭,戽斗尖梭,水,草电,1.3,30,悠游自如,穿刺宝可梦会旋转尾鳍猛然跳起，然后以强劲的力道咬住飞在水面附近的长翅鸥。天气为下雨时，速度会提高。
毒电婴,颤弦蝾螈,电毒,地面,0.4,11,胆怯,婴儿宝可梦就算喝下污水也能安然无恙。那是因为牠会靠著体内的器官把污水过滤成对自己无害的毒液。受到恶属、幽灵属和虫属的招式攻击，或受到威吓时，会因胆怯而使得速度提高。特
颤弦蝾螈,颤弦蝾螈,电毒,地面,1.6,40,庞克,庞克宝可梦当牠一边排出毒汗一边放电的时候，周围会响起如同吉他般的旋律。摇滚声音招式的威力会提高。受到声音招式的伤害会减半。特正电场上的伙伴之中，如果有正电或负电特的
烧火蚣,焚焰蚣,火虫,水,0.7,1,引火,发热宝可梦靠储存在体内的可燃气体来发热。热度最高的是腹部的黄色部分。受到火属的招式攻击时，吸收火焰，让自己使出的火属招式变强。特白色烟雾被白色烟雾保护着，不会被对手降低能力。
